s,C,1/m
Time,TEMPERATURE_C,EXTINCTION_PER_M
 3.5709931E+002, 6.1020166E+001, 2.3636750E+000
 3.5801409E+002, 6.1664401E+001, 2.3869813E+000
 3.5901414E+002, 6.1793215E+001, 2.3904825E+000
 3.6005055E+002, 6.1337935E+001, 2.3678315E+000
 3.6106087E+002, 6.0815182E+001, 2.3444820E+000
 3.6202727E+002, 6.1024926E+001, 2.3527228E+000
 3.6309030E+002, 6.1671744E+001, 2.3873426E+000
 3.6405669E+002, 6.2346180E+001, 2.4319070E+000
 3.6502309E+002, 6.2793240E+001, 2.4720447E+000
 3.6608612E+002, 6.2772212E+001, 2.4939819E+000
 3.6705251E+002, 6.2474402E+001, 2.4866214E+000
 3.6801891E+002, 6.2088844E+001, 2.4584408E+000
 3.6908194E+002, 6.1887790E+001, 2.4359677E+000
 3.7002174E+002, 6.1989304E+001, 2.4392786E+000
 3.7104867E+002, 6.1922978E+001, 2.4417054E+000
 3.7208889E+002, 6.1936967E+001, 2.4371503E+000
 3.7301688E+002, 6.2454738E+001, 2.4592745E+000
 3.7402091E+002, 6.3253794E+001, 2.5060456E+000
 3.7501427E+002, 6.4212487E+001, 2.5558009E+000
 3.7600763E+002, 6.5269831E+001, 2.6075496E+000
 3.7700099E+002, 6.6472430E+001, 2.6653827E+000
 3.7809368E+002, 6.7248326E+001, 2.7168040E+000
 3.7909356E+002, 6.7066278E+001, 2.7385241E+000
 3.8001141E+002, 6.6707341E+001, 2.7506645E+000
 3.8102652E+002, 6.6301911E+001, 2.7576014E+000
 3.8200405E+002, 6.6525689E+001, 2.8032474E+000
 3.8300697E+002, 6.7738655E+001, 2.8857698E+000
 3.8400989E+002, 6.7177146E+001, 2.8865588E+000
 3.8501281E+002, 6.5432150E+001, 2.8123764E+000
 3.8601573E+002, 6.4651675E+001, 2.7687413E+000
 3.8702748E+002, 6.4022038E+001, 2.7454769E+000
 3.8803930E+002, 6.2851169E+001, 2.7104284E+000
 3.8909474E+002, 6.2412617E+001, 2.6986955E+000
 3.9005422E+002, 6.3202389E+001, 2.7385378E+000
 3.9102517E+002, 6.4912871E+001, 2.8233633E+000
 3.9202868E+002, 6.5727016E+001, 2.8561394E+000
 3.9302388E+002, 6.5675039E+001, 2.8357968E+000
 3.9405844E+002, 6.6077755E+001, 2.8380595E+000
 3.9503614E+002, 6.6321991E+001, 2.8362533E+000
 3.9601383E+002, 6.5483434E+001, 2.7878813E+000
 3.9708041E+002, 6.4343630E+001, 2.7201739E+000
 3.9805810E+002, 6.3932161E+001, 2.6791905E+000
 3.9903580E+002, 6.4013054E+001, 2.6935700E+000
 4.0001349E+002, 6.4384225E+001, 2.7340837E+000
 4.0108896E+002, 6.5162068E+001, 2.7954510E+000
 4.0206665E+002, 6.5864981E+001, 2.8344818E+000
 4.0301471E+002, 6.4835417E+001, 2.7883046E+000
 4.0406939E+002, 6.2771403E+001, 2.7003170E+000
 4.0508980E+002, 6.1774690E+001, 2.6621004E+000
 4.0607498E+002, 6.2132622E+001, 2.6737428E+000
 4.0703523E+002, 6.3610121E+001, 2.7276584E+000
 4.0802938E+002, 6.4565499E+001, 2.7582206E+000
 4.0900578E+002, 6.4492512E+001, 2.7592369E+000
 4.1003958E+002, 6.3875238E+001, 2.7444561E+000
 4.1104005E+002, 6.3856979E+001, 2.7502884E+000
 4.1207933E+002, 6.5385106E+001, 2.8083961E+000
 4.1305215E+002, 6.6665205E+001, 2.8528701E+000
 4.1404266E+002, 6.6874809E+001, 2.8574927E+000
 4.1501466E+002, 6.6874190E+001, 2.8554786E+000
 4.1604634E+002, 6.6721050E+001, 2.8497055E+000
 4.1704051E+002, 6.6245450E+001, 2.8412385E+000
 4.1807219E+002, 6.6115691E+001, 2.8651961E+000
 4.1906089E+002, 6.6564290E+001, 2.9091926E+000
 4.2004057E+002, 6.6812076E+001, 2.9371564E+000
 4.2100639E+002, 6.6275537E+001, 2.9209318E+000
 4.2202631E+002, 6.5606335E+001, 2.8832461E+000
 4.2304623E+002, 6.5613978E+001, 2.8713394E+000
 4.2400678E+002, 6.5871411E+001, 2.8796998E+000
 4.2501170E+002, 6.6464707E+001, 2.9207293E+000
 4.2601663E+002, 6.7333945E+001, 3.0143208E+000
 4.2707408E+002, 6.7386993E+001, 3.0486829E+000
 4.2804840E+002, 6.7193805E+001, 3.0574838E+000
 4.2908016E+002, 6.7039333E+001, 3.0597624E+000
 4.3004011E+002, 6.4325011E+001, 2.9328050E+000
 4.3106725E+002, 6.2568764E+001, 2.8342318E+000
 4.3201760E+002, 6.2888300E+001, 2.8598309E+000
 4.3305456E+002, 6.4567765E+001, 3.0045931E+000
 4.3400709E+002, 6.4960807E+001, 3.0493048E+000
 4.3509401E+002, 6.4237346E+001, 3.0298110E+000
 4.3603272E+002, 6.4483917E+001, 3.0680476E+000
 4.3701094E+002, 6.5021563E+001, 3.1037763E+000
 4.3809786E+002, 6.4766276E+001, 3.0816709E+000
 4.3905943E+002, 6.3974357E+001, 3.0176619E+000
 4.4001097E+002, 6.3087362E+001, 2.9696954E+000
 4.4107915E+002, 6.2987047E+001, 2.9640320E+000
 4.4208140E+002, 6.3610372E+001, 2.9815771E+000
 4.4300012E+002, 6.4966323E+001, 3.0265661E+000
 4.4402093E+002, 6.6271282E+001, 3.0967694E+000
 4.4504173E+002, 6.7203006E+001, 3.1777753E+000
 4.4606254E+002, 6.6500755E+001, 3.1727267E+000
 4.4705676E+002, 6.4623797E+001, 3.0652161E+000
 4.4802225E+002, 6.5419945E+001, 3.0604676E+000
 4.4905653E+002, 6.6979162E+001, 3.1167584E+000
 4.5001647E+002, 6.6938932E+001, 3.1444224E+000
 4.5108848E+002, 6.6002664E+001, 3.1147931E+000
 4.5202013E+002, 6.5446771E+001, 3.0816672E+000
 4.5304494E+002, 6.5265242E+001, 3.0645497E+000
 4.5407359E+002, 6.5258185E+001, 3.0689466E+000
 4.5508271E+002, 6.5412837E+001, 3.1065107E+000
 4.5600009E+002, 6.5618437E+001, 3.1542476E+000
 4.5704052E+002, 6.4512581E+001, 3.1061547E+000
 4.5803484E+002, 6.2238616E+001, 2.9998826E+000
 4.5906531E+002, 6.1153673E+001, 2.9559494E+000
